rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,11015,1,2011-07-04,0,0,16950
2,Daniil Medvedev,Russian Federation,RUS,10125,2,2021-03-15,0,1190,10780
3,Alexander Zverev,Germany,GER,7780,3,2017-11-06,0,-190,8240
4,Stefanos Tsitsipas,Greece,GRE,7170,3,2021-08-09,0,630,8350
5,Rafael Nadal,Spain,ESP,6875,1,2008-08-18,0,2000,15390
6,Matteo Berrettini,Italy,ITA,5278,6,2022-01-31,1,710,5533
7,Andrey Rublev,Russian Federation,RUS,4830,5,2021-09-13,-1,45,6400
8,Casper Ruud,Norway,NOR,4065,8,2021-10-25,0,-90,4160
9,Felix Auger Aliassime,Canada,CAN,3923,9,2022-01-10,0,315,3923
10,Jannik Sinner,Italy,ITA,3705,9,2021-11-01,0,315,3705
11,Hubert Hurkacz,Poland,POL,3336,9,2021-11-08,0,0,3706
12,Denis Shapovalov,Canada,CAN,2930,10,2020-09-21,2,337,3625
13,Cameron Norrie,United Kingdom,GBR,2865,12,2021-11-08,-1,-35,2945
14,Diego Sebastian Schwartzman,Argentina,ARG,2640,8,2020-10-12,-1,-90,3765
15,Aslan Karatsev,Russian Federation,RUS,2633,15,2021-11-08,0,80,2633
16,Gael Monfils,France,FRA,2553,6,2016-11-07,4,180,3815
17,Pablo Carreno Busta,Spain,ESP,2475,10,2017-09-11,4,170,3325
18,Christian Garin,Chile,CHI,2420,17,2021-09-13,1,45,2610
19,Roberto Bautista Agut,Spain,ESP,2385,9,2019-11-04,-1,0,3215
20,Taylor Harry Fritz,United States,USA,2310,20,2022-01-31,2,135,2310
21,Nikoloz Basilashvili,Georgia,GEO,2016,16,2019-05-27,2,-35,2101
22,Daniel Evans,United Kingdom,GBR,2002,22,2021-09-27,2,45,2195
23,Lorenzo Sonego,Italy,ITA,1937,21,2021-10-04,3,77,2227
24,Reilly Opelka,United States,USA,1866,19,2021-09-13,5,90,2341
25,Grigor Dimitrov,Bulgaria,BUL,1856,3,2017-11-20,3,35,5150
26,Marin Cilic,Croatia,CRO,1840,3,2018-01-29,1,0,5155
27,Karen Khachanov,Russian Federation,RUS,1815,8,2019-07-15,3,67,2990
28,John Isner,United States,USA,1801,8,2018-07-16,-3,-80,3720
29,Carlos Alcaraz Garfia,Spain,ESP,1689,29,2022-01-31,2,80,1689
30,Roger Federer,Switzerland,SUI,1665,1,2004-02-02,-13,-720,12315
