id,name,recordHolders_0_name,recordHolders_0_country_name,recordHolders_0_country_id,recordHolders_0_active,goatPoints,value
Titles,Most Titles,Jimmy Connors,United States,USA,false,"4, 2, 1",109
GrandSlamTitles,Most Grand Slam Titles,Rafael Nadal,Spain,ESP,true,"8, 5, 3, 2, 1",21
TourFinalsTitles,Most Tour Finals Titles,Roger Federer,Switzerland,SUI,true,"4, 2, 1",6
AltFinalsTitles,Most Alternative Tour Finals Titles,John McEnroe,United States,USA,false,"2, 1",5
AllFinalsTitles,Most All Tour Finals Titles (Official and Alternative),John McEnroe,United States,USA,false,,8
MastersTitles,Most Masters Titles,Novak Djokovic,Serbia,SRB,true,"4, 2, 1",37
OlympicsTitles,Most Olympics Titles,Andy Murray,United Kingdom,GBR,true,"2, 1",2
OlympicsMedals,Most Olympics Medals,Stefan Edberg,Sweden,SWE,false,,2
BigTitles,"Most Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,"4, 2, 1",62
ATP500Titles,Most ATP 500/CS Titles,Ivan Lendl,United States,USA,false,,24
ATP250Titles,Most ATP 250/WS Titles,Jimmy Connors,United States,USA,false,,59
SmallTitles,"Most Small Titles (ATP 500/CS, ATP 250/WS)",Jimmy Connors,United States,USA,false,,78
DavisCupTitles,Most Davis Cup Titles,Rafael Nadal,Spain,ESP,true,1,5
TeamCupsTitles,Most Team Cups Titles,Stefan Edberg,Sweden,SWE,false,,3
HardTitles,Most Hard Titles,Roger Federer,Switzerland,SUI,true,"2, 1",71
ClayTitles,Most Clay Titles,Rafael Nadal,Spain,ESP,true,"2, 1",62
GrassTitles,Most Grass Titles,Roger Federer,Switzerland,SUI,true,"2, 1",19
CarpetTitles,Most Carpet Titles,Jimmy Connors,United States,USA,false,"2, 1",43
OutdoorTitles,Most Outdoor Titles,Rafael Nadal,Spain,ESP,true,1,88
IndoorTitles,Most Indoor Titles,Jimmy Connors,United States,USA,false,1,56
HardGrandSlamTitles,Most Hard Grand Slam Titles,Novak Djokovic,Serbia,SRB,true,"4, 2, 1",12
ClayGrandSlamTitles,Most Clay Grand Slam Titles,Rafael Nadal,Spain,ESP,true,"4, 2, 1",13
GrassGrandSlamTitles,Most Grass Grand Slam Titles,Roger Federer,Switzerland,SUI,true,"4, 2, 1",8
HardMastersTitles,Most Hard Masters Titles,Novak Djokovic,Serbia,SRB,true,"2, 1",27
ClayMastersTitles,Most Clay Masters Titles,Rafael Nadal,Spain,ESP,true,"2, 1",26
GrassMastersTitles,Most Grass Masters Titles,Rod Laver,Australia,AUS,false,"2, 1",3
CarpetMastersTitles,Most Carpet Masters Titles,Rod Laver,Australia,AUS,false,"2, 1",8
HardBigTitles,"Most Hard Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,"2, 1",44
ClayBigTitles,"Most Clay Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",Rafael Nadal,Spain,ESP,true,"2, 1",39
GrassBigTitles,"Most Grass Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,Switzerland,SUI,true,"2, 1",8
CarpetBigTitles,"Most Carpet Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",John McEnroe,United States,USA,false,"2, 1",15
SeasonTitles,Most Titles in Single Season,Rod Laver,Australia,AUS,false,"2, 1",16
SeasonGrandSlamTitles,Most Grand Slam Titles in Single Season,Rod Laver,Australia,AUS,false,"4, 2, 1",4
SeasonAllFinalsTitles,Most All Tour Finals Titles in Single Season (Official and Alternative),Jimmy Connors,United States,USA,false,,2
SeasonMastersTitles,Most Masters Titles in Single Season,Novak Djokovic,Serbia,SRB,true,"2, 1",6
SeasonBigTitles,"Most Big Titles in Single Season (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,"2, 1",10
SeasonHardTitles,Most Hard Titles in Single Season,Jimmy Connors,United States,USA,false,,10
SeasonClayTitles,Most Clay Titles in Single Season,Guillermo Vilas,Argentina,ARG,false,,14
SeasonGrassTitles,Most Grass Titles in Single Season,Alex Metreveli,Russian Federation,RUS,false,,5
SeasonCarpetTitles,Most Carpet Titles in Single Season,Ivan Lendl,United States,USA,false,,9
SeasonOutdoorTitles,Most Outdoor Titles in Single Season,Guillermo Vilas,Argentina,ARG,false,,15
SeasonIndoorTitles,Most Indoor Titles in Single Season,Ivan Lendl,United States,USA,false,,9
TournamentTitles,Most Titles at Single Tournament,Rafael Nadal,Spain,ESP,true,"2, 1",13
TournamentGrandSlamTitles,Most Grand Slam Titles at Single Tournament,Rafael Nadal,Spain,ESP,true,"4, 2, 1",13
TournamentMastersTitles,Most Masters Titles at Single Tournament,Rafael Nadal,Spain,ESP,true,"2, 1",11
TournamentATP500Titles,Most ATP 500/CS Titles at Single Tournament,Rafael Nadal,Spain,ESP,true,,12
TournamentATP250Titles,Most ATP 250/WS Titles at Single Tournament,Guillermo Vilas,Argentina,ARG,false,,7
TournamentSmallTitles,Most Small Titles at Single Tournament,Rafael Nadal,Spain,ESP,true,,12
DifferentTitles,Most Different Titles,Jimmy Connors,United States,USA,false,,56
DifferentGrandSlamTitles,Most Different Grand Slam Titles,Rod Laver,Australia,AUS,false,,4
DifferentMastersSlotTitles,Most Different Masters Slot Titles,Ivan Lendl,United States,USA,false,"2, 1",9
DifferentMastersTitles,Most Different Masters Titles,Ivan Lendl,United States,USA,false,,14
DifferentATP500Titles,Most Different ATP 500/CS Titles,Ivan Lendl,United States,USA,false,,18
DifferentATP250Titles,Most Different ATP 250/WS Titles,Jimmy Connors,United States,USA,false,,39
DifferentSmallTitles,Most Different Small Titles,Jimmy Connors,United States,USA,false,,48
MostTitlesAtEachGrandSlam,Most Titles at Each Grand Slam Tournament,Novak Djokovic,Serbia,SRB,true,,2
GrandSlamTitlesDifficultyAdjusted,Most Grand Slam Titles Adjusted by Difficulty,Rafael Nadal,Spain,ESP,true,,22.24
TourFinalsTitlesDifficultyAdjusted,Most Tour Finals Titles Adjusted by Difficulty,Roger Federer,Switzerland,SUI,true,,5.96
AltFinalsTitlesDifficultyAdjusted,Most Alternative Tour Finals Titles Adjusted by Difficulty,John McEnroe,United States,USA,false,,5.21
MastersTitlesDifficultyAdjusted,Most Masters Titles Adjusted by Difficulty,Novak Djokovic,Serbia,SRB,true,,39.22
OlympicsTitlesDifficultyAdjusted,Most Olympics Titles Adjusted by Difficulty,Andy Murray,United Kingdom,GBR,true,,2.18
ATP500TitlesDifficultyAdjusted,Most ATP 500/CS Titles Adjusted by Difficulty,Ivan Lendl,United States,USA,false,,24.77
ATP250TitlesDifficultyAdjusted,Most ATP 250/WS Titles Adjusted by Difficulty,Jimmy Connors,United States,USA,false,,59.17
HardGrandSlamTitlesDifficultyAdjusted,Most Hard Grand Slam Titles Adjusted by Difficulty,Novak Djokovic,Serbia,SRB,true,,13.22
ClayGrandSlamTitlesDifficultyAdjusted,Most Clay Grand Slam Titles Adjusted by Difficulty,Rafael Nadal,Spain,ESP,true,,14.09
GrassGrandSlamTitlesDifficultyAdjusted,Most Grass Grand Slam Titles Adjusted by Difficulty,Roger Federer,Switzerland,SUI,true,,8.18
HardMastersTitlesDifficultyAdjusted,Most Hard Masters Titles Adjusted by Difficulty,Novak Djokovic,Serbia,SRB,true,,28.88
ClayMastersTitlesDifficultyAdjusted,Most Clay Masters Titles Adjusted by Difficulty,Rafael Nadal,Spain,ESP,true,,27.43
CarpetMastersTitlesDifficultyAdjusted,Most Carpet Masters Titles Adjusted by Difficulty,Rod Laver,Australia,AUS,false,,8.55
SeasonGrandSlamTitlesDifficultyAdjusted,Most Grand Slam Titles in Single Season Adjusted by Difficulty,Rod Laver,Australia,AUS,false,,4.21
SeasonMastersTitlesDifficultyAdjusted,Most Masters Titles in Single Season Adjusted by Difficulty,Novak Djokovic,Serbia,SRB,true,,6.75
TournamentGrandSlamTitlesDifficultyAdjusted,Most Grand Slam Titles at Single Tournament Adjusted by Difficulty,Rafael Nadal,Spain,ESP,true,,14.09
TournamentMastersTitlesDifficultyAdjusted,Most Masters Titles at Single Tournament Adjusted by Difficulty,Rafael Nadal,Spain,ESP,true,,11.43
Finals,Most Finals,Jimmy Connors,United States,USA,false,1,166
GrandSlamFinals,Most Grand Slam Finals,Roger Federer,Switzerland,SUI,true,"2, 1",31
TourFinalsFinals,Most Tour Finals Finals,Roger Federer,Switzerland,SUI,true,1,10
AltFinalsFinals,Most Alternative Tour Finals Finals,John McEnroe,United States,USA,false,,8
AllFinalsFinals,Most All Tour Finals Finals (Official and Alternative),Ivan Lendl,United States,USA,false,,12
MastersFinals,Most Masters Finals,Novak Djokovic,Serbia,SRB,true,1,54
OlympicsFinals,Most Olympics Finals,Andy Murray,United Kingdom,GBR,true,,2
BigFinals,"Most Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,Switzerland,SUI,true,1,92
ATP500Finals,Most ATP 500/CS Finals,Jimmy Connors,United States,USA,false,,37
ATP250Finals,Most ATP 250/WS Finals,Jimmy Connors,United States,USA,false,,81
SmallFinals,"Most Small Finals (ATP 500/CS, ATP 250/WS)",Jimmy Connors,United States,USA,false,,118
HardFinals,Most Hard Finals,Roger Federer,Switzerland,SUI,true,,98
ClayFinals,Most Clay Finals,Guillermo Vilas,Argentina,ARG,false,,77
GrassFinals,Most Grass Finals,Roger Federer,Switzerland,SUI,true,,27
CarpetFinals,Most Carpet Finals,Jimmy Connors,United States,USA,false,,64
OutdoorFinals,Most Outdoor Finals,Rafael Nadal,Spain,ESP,true,,120
IndoorFinals,Most Indoor Finals,Jimmy Connors,United States,USA,false,,82
HardGrandSlamFinals,Most Hard Grand Slam Finals,Novak Djokovic,Serbia,SRB,true,1,18
ClayGrandSlamFinals,Most Clay Grand Slam Finals,Rafael Nadal,Spain,ESP,true,1,13
GrassGrandSlamFinals,Most Grass Grand Slam Finals,Roger Federer,Switzerland,SUI,true,1,12
HardMastersFinals,Most Hard Masters Finals,Novak Djokovic,Serbia,SRB,true,,36
ClayMastersFinals,Most Clay Masters Finals,Rafael Nadal,Spain,ESP,true,,33
CarpetMastersFinals,Most Carpet Masters Finals,Arthur Ashe,United States,USA,false,,10
HardBigFinals,"Most Hard Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,,61
ClayBigFinals,"Most Clay Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Rafael Nadal,Spain,ESP,true,,46
GrassBigFinals,"Most Grass Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,Switzerland,SUI,true,,13
CarpetBigFinals,"Most Carpet Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",John McEnroe,United States,USA,false,,21
SeasonFinals,Most Finals in Single Season,Guillermo Vilas,Argentina,ARG,false,,22
SeasonGrandSlamFinals,Most Grand Slam Finals in Single Season,Rod Laver,Australia,AUS,false,1,4
SeasonAllFinalsFinals,Most All Tour Finals Finals in Single Season (Official and Alternative),Rod Laver,Australia,AUS,false,,2
SeasonMastersFinals,Most Masters Finals in Single Season,Novak Djokovic,Serbia,SRB,true,,8
SeasonBigFinals,"Most Big Finals in Single Season (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,,13
SeasonHardFinals,Most Hard Finals in Single Season,Jimmy Connors,United States,USA,false,,11
SeasonClayFinals,Most Clay Finals in Single Season,Guillermo Vilas,Argentina,ARG,false,,16
SeasonGrassFinals,Most Grass Finals in Single Season,Rod Laver,Australia,AUS,false,,6
SeasonCarpetFinals,Most Carpet Finals in Single Season,Ivan Lendl,United States,USA,false,,9
SeasonOutdoorFinals,Most Outdoor Finals in Single Season,Guillermo Vilas,Argentina,ARG,false,,20
SeasonIndoorFinals,Most Indoor Finals in Single Season,Dennis Ralston,United States,USA,false,,9
TournamentFinals,Most Finals at Single Tournament,Roger Federer,Switzerland,SUI,true,,15
TournamentGrandSlamFinals,Most Grand Slam Finals at Single Tournament,Rafael Nadal,Spain,ESP,true,1,13
TournamentMastersFinals,Most Masters Finals at Single Tournament,Rafael Nadal,Spain,ESP,true,,12
TournamentATP500Finals,Most ATP 500/CS Finals at Single Tournament,Rafael Nadal,Spain,ESP,true,,12
TournamentATP250Finals,Most ATP 250/WS Finals at Single Tournament,Guillermo Vilas,Argentina,ARG,false,,9
TournamentSmallFinals,Most Small Finals at Single Tournament,Roger Federer,Switzerland,SUI,true,,15
DifferentFinals,Most Different Finals,Jimmy Connors,United States,USA,false,,76
DifferentGrandSlamFinals,Most Different Grand Slam Finals,Rod Laver,Australia,AUS,false,,4
DifferentMastersSlotFinals,Most Different Masters Slot Finals,Rod Laver,Australia,AUS,false,,9
DifferentMastersFinals,Most Different Masters Finals,Ivan Lendl,United States,USA,false,,16
DifferentATP500Finals,Most Different ATP 500/CS Finals,Ivan Lendl,United States,USA,false,,25
DifferentATP250Finals,Most Different ATP 250/WS Finals,Jimmy Connors,United States,USA,false,,53
DifferentSmallFinals,Most Different Small Finals,Jimmy Connors,United States,USA,false,,66
MostFinalsAtEachGrandSlam,Most Finals at Each Grand Slam Tournament,Novak Djokovic,Serbia,SRB,true,,6
SemiFinals,Most Semi-Finals,Jimmy Connors,United States,USA,false,,243
GrandSlamSemiFinals,Most Grand Slam Semi-Finals,Roger Federer,Switzerland,SUI,true,1,46
TourFinalsSemiFinals,Most Tour Finals Semi-Finals,Roger Federer,Switzerland,SUI,true,,16
AltFinalsSemiFinals,Most Alternative Tour Finals Semi-Finals,John McEnroe,United States,USA,false,,8
AllFinalsSemiFinals,Most All Tour Finals Semi-Finals (Official and Alternative),Ivan Lendl,United States,USA,false,,18
MastersSemiFinals,Most Masters Semi-Finals,Rafael Nadal,Spain,ESP,true,,75
OlympicsSemiFinals,Most Olympics Semi-Finals,Novak Djokovic,Serbia,SRB,true,,3
BigSemiFinals,"Most Big Semi-Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,Switzerland,SUI,true,,130
ATP500SemiFinals,Most ATP 500/CS Semi-Finals,Jimmy Connors,United States,USA,false,,50
ATP250SemiFinals,Most ATP 250/WS Semi-Finals,Ilie Nastase,Romania,ROU,false,,106
SmallSemiFinals,"Most Small Semi-Finals (ATP 500/CS, ATP 250/WS)",Jimmy Connors,United States,USA,false,,147
HardSemiFinals,Most Hard Semi-Finals,Roger Federer,Switzerland,SUI,true,,138
ClaySemiFinals,Most Clay Semi-Finals,Guillermo Vilas,Argentina,ARG,false,,106
GrassSemiFinals,Most Grass Semi-Finals,Roger Federer,Switzerland,SUI,true,,32
CarpetSemiFinals,Most Carpet Semi-Finals,Jimmy Connors,United States,USA,false,,82
OutdoorSemiFinals,Most Outdoor Semi-Finals,Roger Federer,Switzerland,SUI,true,,155
IndoorSemiFinals,Most Indoor Semi-Finals,Jimmy Connors,United States,USA,false,,114
SeasonSemiFinals,Most Semi-Finals in Single Season,Ilie Nastase,Romania,ROU,false,,25
